author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1082215359481106433,hoosmarexom,218,598,متطوع لدى فريق رؤية وطن تطوعي للتدريب والتطوير,,RT @bbcpaint: من برامج #المسؤولية_الإجتماعية لـ #دهانات_بي_بي_سي رعايتها لمبادرة #ممشى_الصحة_والسعادة لتجميل وتلوين ممرات المشاة في ممشى آل…,2021-10-11 18:29:17+00:00,5,0,0,0
2363505532,1133_00,924,10774,ممن اقسم لحمايه هذا البلد 🇸🇦,الرياض,RT @bbcpaint: من برامج #المسؤولية_الإجتماعية لـ #دهانات_بي_بي_سي رعايتها لمبادرة #ممشى_الصحة_والسعادة لتجميل وتلوين ممرات المشاة في ممشى آل…,2021-10-11 16:35:33+00:00,5,0,0,0
1144660310848081921,ksa_2030vision,10439,2377,"‏‏‏‏‏تعليم وتطوير وعمل دورات مجانية لجميع فئات المجتمع والمساهمة بالأعمال التطوعية
                                      
https://t.co/isPTty86rv‎‎‎‎‎",الرياض المملكةالعربية السعودية,RT @bbcpaint: من برامج #المسؤولية_الإجتماعية لـ #دهانات_بي_بي_سي رعايتها لمبادرة #ممشى_الصحة_والسعادة لتجميل وتلوين ممرات المشاة في ممشى آل…,2021-10-11 16:29:40+00:00,5,0,0,0
197746635,salem1alamri,1859,16891,صانع محتوى مختص بالتسويق والعلامة التجارية، مهتم بالتطوع، متخصص في مجال الدهانات وخبير ألوان ،بودكاست #هِمّة Snap:salem1alamri,"Riyadh, Kingdom of Saudi Arabia",RT @bbcpaint: من برامج #المسؤولية_الإجتماعية لـ #دهانات_بي_بي_سي رعايتها لمبادرة #ممشى_الصحة_والسعادة لتجميل وتلوين ممرات المشاة في ممشى آل…,2021-10-11 10:56:20+00:00,5,0,0,0
1032636554,bbcpaint,47363,5362,هنا نشارك المجتمع شغفنا ونكتشف معاً عالماً نتواصل فيه بلغة الألوان,Kingdom of Saudi Arabia,"من برامج #المسؤولية_الإجتماعية لـ #دهانات_بي_بي_سي رعايتها لمبادرة #ممشى_الصحة_والسعادة لتجميل وتلوين ممرات المشاة في ممشى آل فريان بالسويدي الغربي في #الرياض.
بالتعاون مع فريق رؤية وطن التطوعي للتدريب والتطوير
@ksa_2030vision 
#خبراء_الالوان https://t.co/7fNnIdKoKU",2021-10-11 10:56:08+00:00,5,0,5,0
1279322108976300033,PPMxStudio,34,17,Innovative studio #Architecture #UrbanDesign #placemaking advocacy | committed to create better places inspiring #BetterCities #jeddah_colorwalk @dradelzahrani,Kingdom of Saudi Arabia,RT @YazeedOS7: الحمدلله اولاً و اخيراً .. تم الانتهاء من ممشى الالوان بما يقارب ٨ شهور بمسافة تقارب ٣ كم مع مشاركة عدد من المتطوعين .. اتشر…,2021-10-10 05:56:27+00:00,1,0,0,0
1316977448299397120,nnineonine,67,17928,unfiltered,,طلعوا جامعتي وبالتحديد كليتي مسوين ممشى الالوان اللي بالكورنيش………….خذلااااااااان,2021-10-09 15:21:37+00:00,0,6,0,0
1864329240,YazeedOS7,743,12468,اللّهم إني استودعتك نفسي و أهلي واحبتي فاحفظهم بعينك التي لا تنام ❤️ - 🧑🏼‍🎨 Architect,Jeddah ,"الحمدلله اولاً و اخيراً .. تم الانتهاء من ممشى الالوان بما يقارب ٨ شهور بمسافة تقارب ٣ كم مع مشاركة عدد من المتطوعين .. اتشرفت بالعمل مع فريق طموح و مجتهد و أكثر من رائع والحمدلله حتى يبلغ الحمد منتهاه ❤️🙏🏼
@dradelzahrani 
@PPMxStudio https://t.co/LAtJPIuNDR",2021-10-08 16:12:02+00:00,1,1,2,0
1396582199437180933,oqlMYAD4J6eTgc1,16,263,,,RT @MBR012: @med_projects اتوقع بيكون مثل ممشى الألوان في جدة https://t.co/4JtWubOapH,2021-10-08 14:05:31+00:00,1,0,0,0
1063352815920267264,n7m_0,192,1594,نواف الحمياني || معماري ومهتم بالتصوير الفوتغرافي📸,Jeddah,4📸 #ممشى_الألوان https://t.co/QXVJBvwpli,2021-10-08 09:38:11+00:00,0,0,2,0
1063352815920267264,n7m_0,192,1594,نواف الحمياني || معماري ومهتم بالتصوير الفوتغرافي📸,Jeddah,3📸 #ممشى_الألوان https://t.co/rCvAksPgtF,2021-10-08 09:34:31+00:00,0,0,1,0
1063352815920267264,n7m_0,192,1594,نواف الحمياني || معماري ومهتم بالتصوير الفوتغرافي📸,Jeddah,2📸 #ممشى_الألوان https://t.co/R8keb6unaQ,2021-10-08 09:33:15+00:00,0,1,0,0
